region,region_previous,province,cool,multiling,umultiling,comf_non_eng,media,priv,st_heard,st_descr,zed,spell,spell_uni,distinct,same_ew,celebs,prestige,rec_cdns,software,dictionary,recog_eh,cdn_sorry,engl_able,fr_able,ind_able,beyond_ef,cdn_way,age,country,gender,edu_comp,degree_year,eui,dist_cult,eoi,soc_media
BC,bc,British Columbia,strongly agree,definitely yes,no,,extremely unimportant,yes,yes,yes but i cant describe it well,both,very unimportant,definitely not,definitely not,probably not,no,singaporean english,rarely,yes,neither yes or no,definitely yes,definitely yes,disagree,disagree,strongly agree,neither disagree nor agree,probably not,19,canada,female,high school,second year,0,no,,46 hours
BC,bc,British Columbia,strongly agree,probably yes,no,,important,no,yes,yes but i cant describe it well,zed,important,probably yes,probably yes,definitely not,yes ,british english,sometimes,yes,yes,probably yes,definitely yes,disagree,disagree,agree,agree,probably yes,24,canada,female,high school,fourth year+,0,yes ,12,12 hours
BC,bc,United States,strongly agree,probably yes,no,,extremely unimportant,that depends ,no,,zee,unimportant,probably not,definitely not,probably yes,no,british english,sometimes,yes,no,definitely yes,definitely yes,agree,neither disagree nor agree,agree,disagree,probably yes,19,united states,male,high school,i am not currently studying,0,no,,46 hours
US,us,British Columbia,strongly agree,probably yes,yes,extremely comfortable,unimportant,that depends ,no,yes i do know it is ,zee,important,definitely not,definitely yes,definitely not,yes ,no particular variety,often,no,yes,definitely yes,definitely yes,disagree,strongly disagree,strongly agree,disagree,definitely yes,24,canada,other,high school,fourth year+,4,yes ,4,24 hours
BC,bc,Quebec,strongly agree,probably yes,yes,moderately comfortable,important,no,yes,yes but i cant describe it well,both,neither unimportant nor important,probably not,probably yes,probably not,yes ,british english,sometimes,yes,yes,probably yes,probably yes,disagree,disagree,strongly agree,strongly agree,probably yes,24,canada,other,high school,fourth year+,0,no,,12 hours
other,singapore,British Columbia,strongly agree,probably yes,yes,moderately uncomfortable,unimportant,that depends ,not sure,,zee,unimportant,probably not,probably not,,no,british english,rarely,yes,yes,definitely yes,definitely yes,agree,disagree,agree,agree,probably yes,24,canada,other,high school,fourth year+,3,yes ,8,24 hours
BC,bc,British Columbia,strongly agree,probably not,no,,important,that depends ,no,,zed,neither unimportant nor important,definitely not,definitely not,probably yes,yes ,british english,rarely,,no,probably yes,probably yes,agree,disagree,strongly agree,disagree,probably yes,24,canada,male,high school,fourth year+,0,yes ,4,24 hours
ON,on,Ontario,agree,probably yes,no,,important,that depends ,not sure,,zee,important,,,,,,,,,definitely yes,probably yes,agree,agree,strongly agree,agree,,19,canada,female,elementary school,i am not currently studying,0,no,,24 hours
BC,bc,British Columbia,agree,definitely yes,yes,neither comfortable nor uncomfortable,,that depends ,no,,zee,important,probably yes,probably yes,,,british english,sometimes,,neither yes or no,definitely yes,probably yes,disagree,disagree,agree,strongly agree,probably yes,19,canada,female,elementary school,i am not currently studying,0,no,,46 hours
other,,British Columbia,strongly agree,definitely yes,no,,important,that depends ,no,,zed,neither unimportant nor important,probably yes,probably yes,definitely not,yes ,british english,sometimes,yes,yes,definitely yes,definitely yes,agree,agree,agree,agree,probably yes,54,canada,male,high school,i am not currently studying,0,no,,30 minutes to 1 hour
MB,mb,British Columbia,strongly agree,definitely yes,no,,important,that depends ,yes,yes but i cant describe it well,zed,neither unimportant nor important,definitely yes,probably not,definitely not,yes ,british english,often,yes,definitely yes,definitely yes,probably yes,,disagree,strongly agree,disagree,definitely yes,24,canada,male,high school,fourth year+,0,yes ,3,30 minutes to 1 hour
AB,ab,British Columbia,agree,definitely yes,no,,important,yes,yes,yes but i cant describe it well,both,important,definitely yes,probably yes,probably not,yes ,british english,often,yes,definitely yes,definitely yes,probably yes,agree,agree,agree,neither disagree nor agree,definitely yes,24,canada,male,undergraduate degree,fourth year+,0,no,,24 hours
ON,on,Quebec,agree,probably yes,yes,moderately comfortable,,that depends ,no,,both,unimportant,probably not,probably yes,,yes ,british english,sometimes,yes,,definitely yes,might or might not,disagree,disagree,strongly agree,neither disagree nor agree,probably yes,24,canada,other,high school,fourth year+,2,no,,46 hours
BC,bc,British Columbia,agree,probably yes,no,,unimportant,that depends ,yes,yes but i cant describe it well,both,neither unimportant nor important,probably yes,probably yes,probably not,,no particular variety,often,yes,yes,definitely yes,probably yes,disagree,strongly disagree,agree,disagree,probably yes,24,canada,female,high school,fourth year+,0,no,,24 hours
MB,mb,British Columbia,strongly agree,definitely yes,yes,extremely comfortable,important,that depends ,yes,yes i do know it is ,zed,very important,definitely yes,definitely yes,definitely not,yes ,british english,often,yes,definitely yes,definitely yes,definitely yes,neither disagree nor agree,disagree,strongly agree,neither disagree nor agree,probably yes,24,canada,male,undergraduate degree,i am not currently studying,0,no,,46 hours
ON,on,British Columbia,strongly agree,definitely yes,yes,moderately comfortable,important,no,not sure,,zed,important,probably not,probably yes,definitely not,yes ,no particular variety,,yes,definitely yes,definitely yes,might or might not,strongly disagree,strongly disagree,strongly agree,neither disagree nor agree,probably not,24,canada,female,high school,fourth year+,0,yes ,2,30 minutes to 1 hour
other,,British Columbia,strongly agree,probably yes,yes,extremely comfortable,important,yes,not sure,,both,important,probably not,probably not,definitely not,yes ,british english,rarely,yes,yes,probably yes,probably yes,neither disagree nor agree,disagree,agree,,probably yes,24,canada,female,high school,third year,5,yes ,7,24 hours
BC,bc,British Columbia,strongly agree,neutral,no,,extremely important,that depends ,yes,yes i do know it is ,zee,very important,definitely yes,definitely yes,definitely not,yes ,british english,sometimes,yes,yes,definitely yes,definitely yes,strongly disagree,strongly disagree,strongly agree,neither disagree nor agree,definitely yes,24,canada,female,high school,fourth year+,0,no,,30 minutes to 1 hour
BC,bc,British Columbia,strongly disagreee,probably yes,yes,neither comfortable nor uncomfortable,extremely unimportant,that depends ,no,,both,neither unimportant nor important,probably yes,probably yes,definitely not,yes ,british english,sometimes,yes,definitely yes,probably not,probably yes,agree,neither disagree nor agree,,neither disagree nor agree,probably yes,24,canada,female,high school,fourth year+,2,yes ,3,24 hours
QC,qc,Quebec,strongly agree,probably yes,yes,extremely comfortable,extremely important,no,yes,yes but i cant describe it well,zee,important,definitely yes,probably yes,,,british english,sometimes,yes,definitely yes,definitely yes,definitely yes,neither disagree nor agree,neither disagree nor agree,agree,neither disagree nor agree,probably yes,24,canada,female,undergraduate degree,first year,5,no,,12 hours
MB,mb,British Columbia,strongly agree,definitely yes,yes,extremely comfortable,important,no,yes,yes i do know it is ,zed,neither unimportant nor important,might or might not,probably yes,definitely not,yes ,no particular variety,often,yes,yes,definitely yes,probably yes,disagree,disagree,agree,agree,probably not,49,canada,male,high school,i am not currently studying,3,yes ,4,30 minutes to 1 hour
BC,bc,British Columbia,strongly agree,neutral,yes,moderately comfortable,important,no,yes,yes i do know it is ,zed,important,probably yes,definitely yes,definitely not,yes ,singaporean english,,yes,yes,definitely yes,definitely yes,disagree,disagree,strongly agree,disagree,definitely yes,39,canada,male,postgraduate degree,fourth year+i am in a graduate program,0,no,,12 hours
